Hash,File,LA,LD,LT,isAdded,isRemoved
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/edit_products_properties.t,338,0,339,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/email_preferences.t,405,0,406,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/enter_new_bug.t,35,0,36,1,0
458aca660809144eb9b2c3d84cff103d00dac7c2,docs/en/rst/installing/iis.rst,2,1,131,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,Bugzilla/DB.pm,0,25,2837,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,Bugzilla/Install/CPAN.pm,0,0,1,0,1
2c33712dc066463ab9741a009e56d9a5c2ffedf6,Bugzilla/Install/Filesystem.pm,0,2,1091,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,Bugzilla/Install/Requirements.pm,3,791,354,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,Bugzilla/Markdown.pm,3,3,564,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,META.json,379,0,380,1,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,META.yml,181,0,182,1,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,Makefile.PL,254,0,255,1,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,admin.cgi,1,1,30,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,app.psgi,7,2,76,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,attachment.cgi,1,1,839,0,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,auth.cgi,1,1,134,0,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/flags.t,441,0,442,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/flags2.t,308,0,309,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/groups.t,378,0,379,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/keywords.t,181,0,182,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/login.t,37,0,38,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/milestones.t,149,0,150,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/password_complexity.t,123,0,124,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/private_attachments.t,173,0,174,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/qa_contact.t,164,0,165,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/require_login.t,83,0,84,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/sanity_check.t,49,0,50,1,0
